,COPS_OPEC
1993-01-01,5.633375
1993-02-01,5.502397
1993-03-01,6.078265
1993-04-01,6.625184
1993-05-01,6.412926
1993-06-01,6.230094
1993-07-01,5.929951
1993-08-01,5.844147
1993-09-01,5.75971
1993-10-01,5.809099
1993-11-01,6.100346
1993-12-01,5.795921
1994-01-01,6.501214172
1994-02-01,6.555966121
1994-03-01,6.468880169
1994-04-01,6.644401374
1994-05-01,6.525685565
1994-06-01,6.435634051
1994-07-01,6.538759036
1994-08-01,6.835046803
1994-09-01,6.385351925
1994-10-01,6.288964986
1994-11-01,6.28420738
1994-12-01,6.34845421
1995-01-01,6.402246272
1995-02-01,6.254286739
1995-03-01,6.632246272
1995-04-01,6.132246272
1995-05-01,5.622246272
1995-06-01,6.292246272
1995-07-01,5.972121294
1995-08-01,5.721079109
1995-09-01,5.921419187
1995-10-01,5.721419187
1995-11-01,6.051377194
1995-12-01,5.881377194
1996-01-01,6.337591346
1996-02-01,6.219205395
1996-03-01,6.13671148
1996-04-01,6.319499394
1996-05-01,6.282727492
1996-06-01,6.128981416
1996-07-01,5.970140289
1996-08-01,5.973662386
1996-09-01,5.953155288
1996-10-01,5.805194529
1996-11-01,5.697909602
1996-12-01,5.243158175
1997-01-01,6.800591227
1997-02-01,6.592415107
1997-03-01,6.432058878
1997-04-01,6.18756632
1997-05-01,6.302135862
1997-06-01,6.825084345
1997-07-01,6.815482003
1997-08-01,5.695199269
1997-09-01,5.686714686
1997-10-01,5.547582634
1997-11-01,5.75763917
1997-12-01,6.153344527
1998-01-01,6.577017782
1998-02-01,6.120260796
1998-03-01,6.181260796
1998-04-01,6.173698716
1998-05-01,6.152049053
1998-06-01,6.637049053
1998-07-01,6.74180604
1998-08-01,7.051981208
1998-09-01,6.971781987
1998-10-01,7.126781987
1998-11-01,6.86165061
1998-12-01,7.13165061
1999-01-01,7.478427448
1999-02-01,7.048367743
1999-03-01,7.21321835
1999-04-01,8.327626738
1999-05-01,8.32755288
1999-06-01,8.817480163
1999-07-01,8.287484801
1999-08-01,8.067486053
1999-09-01,8.057218485
1999-10-01,8.002486739
1999-11-01,8.497556059
1999-12-01,9.42281921
2000-01-01,8.14910088
2000-02-01,7.491119362
2000-03-01,7.607852955
2000-04-01,6.769956978
2000-05-01,6.248044202
2000-06-01,6.547255348
2000-07-01,6.318323612
2000-08-01,5.417776189
2000-09-01,5.435143139
2000-10-01,5.166616955
2000-11-01,5.222038078
2000-12-01,6.656280117
2001-01-01,6.629031726
2001-02-01,6.964341601
2001-03-01,6.315033226
2001-04-01,6.907682038
2001-05-01,7.095013504
2001-06-01,8.56833679
2001-07-01,7.312675838
2001-08-01,6.785893235
2001-09-01,7.521558618
2001-10-01,7.577857446
2001-11-01,7.699145274
2001-12-01,8.629877882
2002-01-01,9.06418202
2002-02-01,9.060822971
2002-03-01,8.852197468
2002-04-01,10.07144462
2002-05-01,9.205359665
2002-06-01,9.451900214
2002-07-01,8.877128012
2002-08-01,9.074521862
2002-09-01,8.255436908
2002-10-01,7.509726452
2002-11-01,7.344155054
2002-12-01,7.235917296
2003-01-01,2.532540942
2003-02-01,2.114945397
2003-03-01,0.907693415
2003-04-01,0.770810906
2003-05-01,1.085701607
2003-06-01,1.988373718
2003-07-01,2.02930151
2003-08-01,2.035518979
2003-09-01,2.096768688
2003-10-01,1.905482536
2003-11-01,2.005299819
2003-12-01,1.635600008
2004-01-01,1.581626
2004-02-01,1.581626
2004-03-01,1.826626
2004-04-01,1.831626
2004-05-01,1.681626
2004-06-01,0.68549
2004-07-01,0.68549
2004-08-01,0.677761
2004-09-01,0.677761
2004-10-01,0.677761
2004-11-01,0.677761
2004-12-01,0.670033
2005-01-01,1.01
2005-02-01,1.01
2005-03-01,1.01
2005-04-01,0.91
2005-05-01,0.91
2005-06-01,0.9
2005-07-01,0.9
2005-08-01,0.88
2005-09-01,0.88
2005-10-01,0.98
2005-11-01,0.98
2005-12-01,0.98
2006-01-01,1.09
2006-02-01,1.04
2006-03-01,1.215
2006-04-01,1.215
2006-05-01,1.405
2006-06-01,1.47
2006-07-01,1.26
2006-08-01,1.26
2006-09-01,1.53
2006-10-01,1.73
2006-11-01,1.91
2006-12-01,2.01
2007-01-01,2.09
2007-02-01,2.27
2007-03-01,2.21
2007-04-01,2.21
2007-05-01,2.21
2007-06-01,2.15
2007-07-01,2.105
2007-08-01,2.05
2007-09-01,1.89
2007-10-01,1.78
2007-11-01,1.55004
2007-12-01,1.47008
2008-01-01,1.48
2008-02-01,1.53
2008-03-01,1.53
2008-04-01,1.63
2008-05-01,1.33
2008-06-01,1.28
2008-07-01,1.03
2008-08-01,1.13
2008-09-01,1.33
2008-10-01,1.33
2008-11-01,1.93
2008-12-01,2.38
2009-01-01,3.390484
2009-02-01,3.49
2009-03-01,3.49
2009-04-01,3.54
2009-05-01,3.54
2009-06-01,3.59
2009-07-01,3.62
2009-08-01,4.02
2009-09-01,4.52
2009-10-01,4.52
2009-11-01,4.52
2009-12-01,4.62
2010-01-01,4.949896
2010-02-01,4.899746
2010-03-01,4.80996
2010-04-01,5.109852
2010-05-01,5.199673
2010-06-01,5.130283
2010-07-01,5.030335
2010-08-01,5.019837
2010-09-01,5.029896
2010-10-01,5.03985
2010-11-01,4.990083
2010-12-01,4.939687
2011-01-01,4.438903
2011-02-01,4.019258
2011-03-01,4.12013
2011-04-01,4.019548
2011-05-01,4.020193
2011-06-01,3.319777
2011-07-01,3.120216
2011-08-01,2.969923
2011-09-01,3.170302
2011-10-01,3.419861
2011-11-01,3.070404
2011-12-01,3.069653
2012-01-01,2.720231
2012-02-01,2.519547
2012-03-01,2.539132
2012-04-01,2.53893
2012-05-01,2.73904
2012-06-01,2.459026
2012-07-01,2.469875
2012-08-01,2.369647
2012-09-01,2.599154
2012-10-01,2.59932
2012-11-01,2.819124
2012-12-01,3.11911
2013-01-01,3.269706
2013-02-01,3.26967
2013-03-01,3.270088
2013-04-01,2.969869
2013-05-01,2.87021
2013-06-01,2.570282
2013-07-01,2.369154
2013-08-01,2.170249
2013-09-01,2.270805
2013-10-01,2.569315
2013-11-01,2.570112
2013-12-01,2.569989
2014-01-01,2.349947
2014-02-01,2.399316
2014-03-01,2.650229
2014-04-01,2.650028
2014-05-01,2.549889
2014-06-01,2.600563
2014-07-01,2.400621
2014-08-01,2.450122
2014-09-01,2.510674
2014-10-01,2.335499
2014-11-01,2.350023
2014-12-01,2.400223
2015-01-01,2.380322
2015-02-01,2.279944
2015-03-01,1.879726
2015-04-01,1.860331
2015-05-01,1.600471
2015-06-01,1.400246
2015-07-01,1.460276
2015-08-01,1.53017
2015-09-01,1.530357
2015-10-01,1.630152
2015-11-01,1.679561
2015-12-01,1.629802
2016-01-01,1.550458
2016-02-01,1.74047
2016-03-01,1.720178
2016-04-01,1.860287
2016-05-01,1.539372
