horizon,beta,se,ci_low,ci_high
0,0.1294,0.065,0.0019,0.2569
1,0.2672,0.0959,0.0793,0.455
2,0.435,0.1649,0.1117,0.7582
3,0.4579,0.2002,0.0655,0.8503
4,0.5935,0.2477,0.1079,1.0791
5,0.6306,0.2835,0.0749,1.1862
6,0.7521,0.3186,0.1277,1.3765
7,0.7964,0.3743,0.0626,1.5301
8,1.0282,0.4398,0.1661,1.8903
9,1.1856,0.4534,0.2969,2.0743
10,1.2639,0.4637,0.3551,2.1728
11,1.328,0.4836,0.3802,2.2759
12,1.4389,0.4922,0.4741,2.4037
13,1.4196,0.493,0.4534,2.3859
14,1.4315,0.5081,0.4357,2.4274
15,1.4705,0.5295,0.4327,2.5083
16,1.5314,0.548,0.4573,2.6054
17,1.4046,0.5682,0.291,2.5183
18,1.47,0.5575,0.3772,2.5628
19,1.5761,0.5558,0.4867,2.6655
20,1.3661,0.5495,0.2892,2.4431
21,1.2774,0.5387,0.2216,2.3332
22,1.1886,0.5093,0.1905,2.1868
23,1.0917,0.4564,0.1972,1.9863
24,1.0655,0.4401,0.2029,1.928
25,0.8878,0.4206,0.0635,1.7121
26,0.7943,0.4125,-0.0141,1.6028
27,0.7179,0.3855,-0.0377,1.4735
28,0.603,0.3663,-0.1149,1.3209
29,0.4515,0.3729,-0.2795,1.1824
30,0.3718,0.3931,-0.3986,1.1422
31,0.3631,0.4106,-0.4417,1.1679
32,0.4365,0.4049,-0.3571,1.23
33,0.4106,0.3921,-0.3579,1.1791
34,0.4993,0.3625,-0.2111,1.2097
35,0.5115,0.3606,-0.1953,1.2182
36,0.4133,0.362,-0.2962,1.1228
37,0.4107,0.3379,-0.2515,1.073
38,0.5357,0.3299,-0.1108,1.1823
39,0.6061,0.3423,-0.0649,1.277
40,0.5271,0.3653,-0.1889,1.2431
41,0.62,0.3706,-0.1064,1.3463
42,0.6822,0.3586,-0.0207,1.3852
43,0.7664,0.3675,0.0461,1.4868
44,0.8457,0.3749,0.1109,1.5804
45,1.0067,0.3734,0.2749,1.7386
46,1.1015,0.4066,0.3046,1.8983
47,1.1027,0.4198,0.2799,1.9254
48,1.2063,0.4213,0.3805,2.0321
49,1.2518,0.4707,0.3292,2.1744
50,1.2371,0.4951,0.2667,2.2076
51,1.2751,0.4919,0.3109,2.2392
52,1.2305,0.493,0.2643,2.1967
53,1.1822,0.5014,0.1994,2.1649
54,1.1048,0.5225,0.0807,2.1288
55,0.9537,0.548,-0.1204,2.0278
56,1.0064,0.5238,-0.0202,2.0331
57,1.034,0.5109,0.0327,2.0354
58,1.0179,0.5077,0.0229,2.013
59,0.9569,0.531,-0.0838,1.9976
60,0.9028,0.5083,-0.0934,1.899
